param nu := 1;
param m := 100;
param n := 4;

param A_train:
	1	2	3	4 :=
	1	0.083	0.958	0.053	0.068
	2	0.265	0.453	0.948	0.951
	3	0.321	0.267	0.741	0.406
	4	0.132	0.595	0.491	0.263
	5	0.344	0.742	0.130	0.852
	6	0.433	0.600	0.060	0.721
	7	0.096	0.804	0.023	0.149
	8	0.993	0.414	0.325	0.941
	9	0.478	0.262	0.632	0.219
	10	0.869	0.351	0.263	0.360
	11	0.003	0.704	0.356	0.133
	12	0.841	0.566	0.155	0.901
	13	0.221	0.996	0.091	0.244
	14	0.963	0.237	0.559	0.288
	15	0.924	0.766	0.440	0.556
	16	0.109	0.426	0.336	0.372
	17	0.951	0.376	0.489	0.307
	18	0.045	0.148	0.075	0.200
	19	0.362	0.420	0.045	0.453
	20	0.190	0.416	0.901	0.749
	21	0.079	0.674	0.470	0.519
	22	0.455	0.628	0.656	0.791
	23	0.441	0.742	0.376	0.930
	24	0.885	0.974	0.198	0.961
	25	0.247	0.323	0.595	0.292
	26	0.259	0.482	0.192	0.159
	27	0.896	0.238	0.905	0.366
	28	0.136	0.821	0.385	0.791
	29	0.386	0.232	0.354	0.762
	30	0.404	0.647	0.136	0.602
	31	0.311	0.849	0.931	0.905
	32	0.708	0.164	0.624	0.900
	33	0.855	0.796	0.561	0.761
	34	0.318	0.897	0.982	0.703
	35	0.594	0.088	0.920	0.949
	36	0.082	0.353	0.498	0.219
	37	0.106	0.529	0.805	0.037
	38	0.946	0.745	0.598	0.570
	39	0.922	0.425	0.440	0.483
	40	0.602	0.800	0.082	0.584
	41	0.770	0.178	0.592	0.690
	42	0.442	0.773	0.480	0.940
	43	0.436	0.046	0.521	0.241
	44	0.955	0.187	0.828	0.554
	45	0.472	0.475	0.182	0.913
	46	0.368	0.515	0.758	0.450
	47	0.261	0.220	0.277	0.853
	48	0.404	0.295	0.683	0.885
	49	0.675	0.321	0.281	0.195
	50	0.364	0.150	0.749	0.192
	51	0.505	0.664	0.179	0.687
	52	0.137	0.054	0.091	0.895
	53	0.190	0.157	0.725	0.467
	54	0.636	0.872	0.305	0.319
	55	0.540	0.994	0.077	0.821
	56	0.639	0.185	0.339	0.387
	57	0.043	0.893	0.041	0.223
	58	0.618	0.360	0.634	0.709
	59	0.138	0.899	0.412	0.863
	60	0.421	0.499	0.238	0.726
	61	0.994	0.266	0.811	0.072
	62	0.000	0.711	0.272	0.339
	63	0.648	0.383	0.991	0.689
	64	0.570	0.307	0.965	0.204
	65	0.220	0.342	0.915	0.632
	66	0.281	0.053	0.704	0.519
	67	0.521	0.514	0.045	0.332
	68	0.131	0.332	0.296	0.403
	69	0.394	0.051	0.054	0.385
	70	0.660	0.955	0.047	0.625
	71	0.063	0.845	0.501	0.978
	72	0.706	0.259	0.529	0.409
	73	0.308	0.931	0.292	0.353
	74	0.877	0.484	0.596	0.173
	75	0.267	0.567	0.938	0.322
	76	0.679	0.981	0.906	0.726
	77	0.064	0.790	0.451	0.565
	78	0.928	0.271	0.027	0.457
	79	0.805	0.765	0.611	0.097
	80	0.874	0.974	0.602	0.470
	81	0.488	0.737	0.713	0.427
	82	0.665	0.105	0.040	0.570
	83	0.647	0.635	0.621	0.098
	84	0.389	0.026	0.471	0.415
	85	0.151	0.220	0.248	0.762
	86	0.366	0.637	0.290	0.967
	87	0.437	0.456	0.844	0.150
	88	0.902	0.814	0.988	0.943
	89	0.819	0.590	0.020	0.440
	90	0.220	0.829	0.713	0.691
	91	0.196	0.842	0.464	0.444
	92	0.781	0.810	0.241	0.072
	93	0.347	0.508	0.233	0.191
	94	0.115	0.093	0.473	0.103
	95	0.858	0.922	0.626	0.878
	96	0.313	0.097	0.191	0.026
	97	0.435	0.222	0.630	0.900
	98	0.234	0.681	0.477	0.475
	99	0.254	0.823	0.261	0.487
	100	0.920	0.603	0.107	0.392
;

param y_train :=
	1 1.000
	2 1.000
	3 -1.000
	4 -1.000
	5 1.000
	6 -1.000
	7 -1.000
	8 1.000
	9 -1.000
	10 -1.000
	11 -1.000
	12 1.000
	13 -1.000
	14 1.000
	15 -1.000
	16 -1.000
	17 1.000
	18 -1.000
	19 -1.000
	20 1.000
	21 -1.000
	22 1.000
	23 1.000
	24 1.000
	25 -1.000
	26 -1.000
	27 1.000
	28 1.000
	29 -1.000
	30 -1.000
	31 1.000
	32 1.000
	33 1.000
	34 1.000
	35 1.000
	36 1.000
	37 -1.000
	38 1.000
	39 1.000
	40 1.000
	41 1.000
	42 -1.000
	43 -1.000
	44 1.000
	45 -1.000
	46 1.000
	47 -1.000
	48 1.000
	49 -1.000
	50 -1.000
	51 1.000
	52 -1.000
	53 -1.000
	54 1.000
	55 1.000
	56 -1.000
	57 -1.000
	58 1.000
	59 1.000
	60 -1.000
	61 1.000
	62 -1.000
	63 1.000
	64 1.000
	65 1.000
	66 -1.000
	67 -1.000
	68 -1.000
	69 -1.000
	70 1.000
	71 1.000
	72 -1.000
	73 -1.000
	74 1.000
	75 -1.000
	76 1.000
	77 -1.000
	78 -1.000
	79 1.000
	80 1.000
	81 1.000
	82 -1.000
	83 1.000
	84 -1.000
	85 -1.000
	86 1.000
	87 -1.000
	88 1.000
	89 -1.000
	90 1.000
	91 -1.000
	92 -1.000
	93 -1.000
	94 -1.000
	95 1.000
	96 -1.000
	97 1.000
	98 -1.000
	99 -1.000
	100 1.000
;
