w [*] :=
1  2.53206
2  2.16791
3  2.2322
4  1.93629
;

gamma = -4.39441

y_pred [*] :=
  1 -1    13 -1    25 -1    37 -1    49 -1    61  1    73 -1    85 -1    97  1
  2  1    14  1    26 -1    38  1    50 -1    62 -1    74  1    86  1    98 -1
  3 -1    15  1    27  1    39  1    51  1    63  1    75  1    87 -1    99 -1
  4 -1    16 -1    28  1    40  1    52 -1    64  1    76  1    88  1   100  1
  5  1    17  1    29 -1    41  1    53 -1    65  1    77 -1    89 -1
  6 -1    18 -1    30 -1    42  1    54  1    66 -1    78 -1    90  1
  7 -1    19 -1    31  1    43 -1    55  1    67 -1    79  1    91 -1
  8  1    20  1    32  1    44  1    56 -1    68 -1    80  1    92  1
  9 -1    21 -1    33  1    45  1    57 -1    69 -1    81  1    93 -1
 10 -1    22  1    34  1    46  1    58  1    70  1    82 -1    94 -1
 11 -1    23  1    35  1    47 -1    59  1    71  1    83  1    95  1
 12  1    24  1    36 -1    48  1    60 -1    72 -1    84 -1    96 -1
;

accurracy/m*100 = 93

lambda [*] :=
  1 1              26 3.61596e-09    51 1              76 1.49237e-09
  2 9.57203e-09    27 1.28782e-08    52 3.11563e-09    77 1
  3 1              28 1              53 1              78 1
  4 6.07543e-08    29 1              54 1              79 1
  5 1              30 1              55 0.98536        80 2.14701e-09
  6 1              31 2.51526e-09    56 1              81 1
  7 3.38936e-09    32 0.0673893      57 4.5801e-09     82 1.49493e-08
  8 4.0891e-09     33 2.15917e-09    58 1              83 1
  9 1              34 2.82228e-09    59 1              84 6.38952e-09
 10 1              35 1.13868e-08    60 1              85 6.54088e-09
 11 4.40481e-09    36 1              61 1              86 1
 12 1.23645e-08    37 0.533808       62 6.35572e-09    87 1
 13 1              38 2.41987e-09    63 4.10002e-09    88 1.06523e-09
 14 1              39 1              64 1              89 1
 15 1              40 1              65 1              90 0.481059
 16 4.67003e-09    41 1              66 1              91 1
 17 1              42 1              67 3.53027e-08    92 1
 18 1.34885e-09    43 5.69255e-09    68 3.64626e-09    93 7.29076e-09
 19 6.20012e-09    44 6.43221e-09    69 2.2853e-09     94 1.9486e-09
 20 1              45 1              70 1              95 1.48909e-09
 21 1              46 1              71 1              96 1.70777e-09
 22 1.15092e-08    47 1              72 1              97 1
 23 2.27717e-08    48 1              73 1              98 1
 24 2.04072e-09    49 1              74 1              99 1
 25 3.40498e-08    50 0.999999       75 1             100 1
;

